Name,SMILES,BSEP ACTIVITY,,,,,,,
317677,CC([C@H]1C(=O)N[C@@H](Cc2cc(F)cc(O)c2)C(=O)N(NC3C(=O)O[C@H](\C(=C\C=C\C(N4OCCCC4)=O)\C)C\C=C\C=C\[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(=O)C)C(=O)N1)CCC3)C,1,,,,,,,
50774982,Cc1c(Cl)c(NS(c2c(C(Cc3c(C)cc(c4c3)OCO4)=O)scc2)(=O)=O)on1,1,,,,,,,
50739209,CC(\N=C(\C(Nc1ccc(Cl)cc1)=C2)/C=C3C2=Nc(c4N3c5ccc(Cl)cc5)cccc4)C,1,,,,,,,
50775607,CC(OC(CCC\C=C/C[C@@H]1[C@@H](CC[C@H](CCc2ccccc2)O)[C@H](O)C[C@@H]1O)=O)C,1,,,,,,,
50774876,CC[C@@H]1[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@](O)(C)[C@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@](OC)(C)C3)[C@@H](C)C(=O)O1,1,,,,,,,
50775624,CC(c1n(CC[C@H](C[C@H](CC(=O)O)O)O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(Nc4ccccc4)=O)C,1,,,,,,,
50775645,Cc1nc(N2CCN(CCO)CC2)cc(Nc3sc(C(Nc4c(Cl)cccc4C)=O)cn3)n1,1,,,,,,,
51318133,COc1c(c2cc(Cl)c(Oc3c(F)ccc(F)c3)nc2)cc(F)c(C(NS(=O)(=O)C)=O)c1,1,,,,,,,
50739725,Clc1ccc(COC(c2c(Cl)cc(Cl)cc2)Cn3cncc3)cc1,1,,,,,,,
50739205,COC[C@@H]1[C@@]2(C)c(c3C(=O)O1)c(C(=O)C4=C2[C@H](OC(=O)C)C[C@@](C)([C@H]45)C(=O)CC5)oc3,1,,,,,,,
50754044,OC(c1n(Cc2cc(Cl)c(Cl)cc2)c(c3c1)ccs3)=O,1,,,,,,,
50739550,C[C@@]1([C@@](C#N)(O)CC2)[C@@H]2[C@H]3[C@@H](c(c4CC3)ccc(O)c4)CC1,1,,,,,,,
50774877,C[C@@]1([C@@](C#C)(O)CC2)[C@@H]2[C@H]3[C@@H](c(c4CC3)ccc(O)c4)CC1,1,,,,,,,
50777244,CCOC([C@H]1[C@H](OC)[C@@H](O[C@H]2[C@H](O)[C@@H](N(C)C)[C@H](O[C@@H]3O[C@@H](C)[C@H](OC(CC)=O)[C@@](O)(C)C3)[C@@H](C)O2)[C@@H](CC=O)C[C@@H](C)[C@@H](O)\C=C\C=C\C[C@@H](C)OC(=O)C1)=O,1,,,,,,,
50754140,C(C1NCCCC1)C(C2CCCCC2)C3CCCCC3,1,,,,,,,
50753352,COc1c(OC(=O)C)c(c2c(OC(=O)C)c1OC)ccc(Cl)c2,1,,,,,,,
50739204,CC(O[C@H]1C(=O)[C@@](C)([C@@H]2[C@H](OC(c3ccccc3)=O)[C@](C(C)(C)C1=C4C)(O)C[C@@H]4OC([C@@H]([C@H](c5ccccc5)NC(c6ccccc6)=O)O)=O)[C@@H](O)C[C@H]([C@]27OC(=O)C)OC7)=O,1,,,,,,,
50753695,CC1CC(C)(C)CC(OC(C(c2ccccc2)O)=O)C1,1,,,,,,,
50774878,CS(N1CCN(Cc2sc(c3c2)c(N4CCOCC4)nc(c5c(c6ccc5)cn[nH]6)n3)CC1)(=O)=O,1,,,,,,,
50739202,CC(OC(C(Oc1ccc(C(c2ccc(Cl)cc2)=O)cc1)(C)C)=O)C,1,,,,,,,
51026619,CC\C(\c1ccccc1)=C(\c2ccc(OCCN(C)C)cc2)/c3ccccc3,1,,,,,,,
50754412,CCOC([C@@H](N[C@H](C(N1[C@H](C(=O)O)Cc(c2C1)cccc2)=O)C)CCc3ccccc3)=O,1,,,,,,,
50739201,CCC(C(=O)N(C(NCCc1ccc(S(NC(N[C@@H]2CC[C@@H](C)CC2)=O)(=O)=O)cc1)=O)C3)=C3C,1,,,,,,,
50739351,C(N1CCN(C(c2ccccc2)c3ccccc3)CC1)\C=C\c4ccccc4,1,,,,,,,
50775602,C[C@@H]1C([C@@]2(C)[C@H]([C@H]3C1)CC[C@@](C)([C@H]34)[C@](C(=O)C)(OC(=O)C)CC4)=CC(=O)CC2,1,,,,,,,
50753248,Cc1oc(c2c1)cc(C(=O)O)n2Cc3cc(Cl)c(Cl)cc3,1,,,,,,,
50739703,CCc1c(C(c2cc(Br)c(O)c(Br)c2)=O)c(c3o1)cccc3,1,,,,,,,
50754506,CCOC(C(C(c1c(Cl)cccc1)C(C(OC)=O)=C(C)N2)=C2COCCN)=O,1,,,,,,,
50739200,CCCc1n(Cc2ccc(c3c(C(=O)O)cccc3)cc2)c(c4n1)cc(c5n(C)c(c6n5)cccc6)cc4C,1,,,,,,,
50753204,CON(C(c1c(c2sc1Cn3c(Cl)c(Cl)nc3C)C(=O)N(C)C(=O)N2CC(C)C)=O)C,1,,,,,,,
50775652,C[C@@]1([C@@]2(OC(=O)CC2)[C@H]([C@@H]34)C3)[C@@H]4[C@H]5[C@@H]([C@](C)(C(=C6)[C@@H]([C@@H]57)C7)CCC6=O)CC1,1,,,,,,,
50754123,C[C@H]1[C@H](C(CO)=O)[C@](C)([C@H]2C1)C[C@H](O)[C@@](F)([C@H]23)[C@](C)(C(=C4)CC3)C=CC4=O,1,,,,,,,
50753489,CCCc1c2c(C(=O)NC(c3c(OCC)ccc(S(N4CCN(C)CC4)(=O)=O)c3)=N2)n(C)n1,1,,,,,,,
50753581,C[C@@]1([C@@H](C(CO)=O)CC2)[C@@H]2[C@H]3[C@@H]([C@](C)(C(=C4)CC3)CCC4=O)CC1,1,,,,,,,
